side_a,side_b,tags
What monomers make up microtubules?,Alpha and beta tubulin,ECM;Filaments;Cell Biology;Microtubules
What is the circumference of microtubule cylinders?,3 tubulin monomers,ECM;Filaments;Cell Biology;Microtubules
Does microtubule elongation happen on the + or the - end?,on the + end,ECM;Filaments;Cell Biology;Microtubules
Is alpha or beta tubulin found on the + end,Alpha tubulin,ECM;Filaments;Cell Biology;Microtubules
Tubulin has sites for three key things,GTP binding\nInteraction with microtubule associated proteins (MAP)\nDrug binding sites,ECM;Filaments;Cell Biology;Microtubules
What is the effect of taxol in the context of microtubules.,Inhibition of polymerisation,ECM;Filaments;Cell Biology;Microtubules
Microtubule assembly occurs in what phases?,Nucleation and Elongation,ECM;Filaments;Cell Biology;Microtubules
"What two key compounds are required, besides tubulin, to initiate microtubule polymerisation?",Mg2+ and GTP,ECM;Filaments;Cell Biology;Microtubules
What do alpha and beta tubulin do during nucleation of a microtubule?,Form a heterodimer,ECM;Filaments;Cell Biology;Microtubules
"During the elongation of microtubules, how many tubulin dimers wrap around the periphery?",Thirteen,ECM;Filaments;Cell Biology;Microtubules
Does alpha tubulin bind to GTP exchangebly or non exchangebly,Non exchangebly,ECM;Filaments;Cell Biology;Microtubules
Dos beta tubulin bind to GTP exchangebly or non exchangebly,"Non exchangebly, GTP bound to Beta tubulin is hydrolysed to GDP + Pi",ECM;Filaments;Cell Biology;Microtubules
Hydrolysis of GTP on beta tubulin to GDP results in what effect?,Depolymerisation,ECM;Filaments;Cell Biology;Microtubules
When the rate of GTP hydrolysis exceeds the rate of polymerisation what occurs?,Depolymerisation catastrophe,ECM;Filaments;Cell Biology;Microtubules
When GTP tubulin reappears after a catastrophe what happens?,Rescue (polymerisation & nucleation),ECM;Filaments;Cell Biology;Microtubules
What does dynamic instability refer to?,The balance between growth and deploymerisation,ECM;Filaments;Cell Biology;Microtubules
The microtubule organising center is associated with what structure in the cell?,Centrosome,ECM;Filaments;Cell Biology;Microtubules
The centrosome consists of what?,Two perpendicular centrioles (nine triplet centrioles),ECM;Filaments;Cell Biology;Microtubules
Centrioles are + or - at the periphery,they are +,ECM;Filaments;Cell Biology;Microtubules
Capping of microtubules by _______ lends to stability at even low tubulin concentration,Pericentriolar material (PCM),ECM;Filaments;Cell Biology;Microtubules
EB1 does what in microtubules,Binds and stabilises the + end (+ tracking),ECM;Filaments;Cell Biology;Microtubules
"During metaphase subunits are added to the ___ end and removed from the ___ end at the spindle pole, ensuring a constant length of microtubules",".+ end, - end",ECM;Filaments;Cell Biology;Microtubules
"During anaphase, the kinetochore moves up the microtubule by removing subunits from which side of the microtubule (+ or -)?",the + end,ECM;Filaments;Cell Biology;Microtubules
Proteins attached to a microtubule will eventuall end up at what end?,the - end,ECM;Filaments;Cell Biology;Microtubules
Colcichine is an anticancer drug that works by:,Preventing polymerisation of microtubules by binding to tubulin,ECM;Filaments;Cell Biology;Microtubules;Cancer
Vinblastine works by:,Preventing polymerisation of microtubules by binding to tubulin,ECM;Filaments;Cell Biology;Microtubules;Cancer
Nocodazole works by:,Preventing polymerisation of microtubules by binding to tubulin,ECM;Filaments;Cell Biology;Microtubules;Cancer
Vincristine works by:,Preventing polymerisation of microtubules by binding to tubulin,ECM;Filaments;Cell Biology;Microtubules;Cancer
Taxol works by,Preventing polymerisation of microtubules by binding to tubulin,ECM;Filaments;Cell Biology;Microtubules;Cancer
Preventing polymerisation of microtubules by binding to tubulin stop mitosis at what stage?,The cell will be unable to separate chromosomes at metaphase. The spindle fails to form.,ECM;Filaments;Cell Biology;Microtubules;Cancer
